Time,Wavelength,Power
2024-06-19T13:53:07.628,1529.55342,-30.5,1529.55335
2024-06-19T13:53:07.874,1529.55306,-30.6,1529.55342
2024-06-19T13:53:09.967,1529.92570,-30.6,0
2024-06-19T13:53:10.212,1529.92887,-30.6,1529.92571
2024-06-19T13:53:10.458,1529.93448,-30.4,1529.92888
2024-06-19T13:53:10.704,1529.93759,-30.4,1529.93447
2024-06-19T13:53:10.934,1529.94079,-30.5,1529.93761
2024-06-19T13:53:11.185,1529.94623,-30.3,1529.94080
2024-06-19T13:53:11.416,1529.94608,-30.5,1529.94623
2024-06-19T13:53:11.678,1529.94563,-30.5,1529.94608
2024-06-19T13:53:11.904,1529.94548,-30.4,1529.94563
2024-06-19T13:53:12.156,1529.94491,-30.5,1529.94549
2024-06-19T13:53:12.389,1529.94549,-30.6,1529.94491
2024-06-19T13:53:12.647,1529.94494,-30.5,1527.80057
2024-06-19T13:53:12.873,1529.94545,-30.6,1529.94494
2024-06-19T13:53:13.109,1529.94449,-30.6,1529.94545
2024-06-19T13:53:13.359,1529.94435,-30.6,1529.94450
2024-06-19T13:53:13.604,1529.94339,-30.7,1529.94435
2024-06-19T13:53:13.844,1529.94306,-30.6,1529.94340
2024-06-19T13:53:14.086,1529.94273,-30.7,1529.94307
2024-06-19T13:53:14.335,1529.94256,-30.8,1529.94274
2024-06-19T13:53:14.566,1529.94233,-30.8,1529.94257
2024-06-19T13:53:14.816,1529.94218,-30.8,1529.94235
2024-06-19T13:53:15.047,1529.94234,-30.8,1529.94219
2024-06-19T13:53:15.308,1529.94289,-30.8,1529.94235
2024-06-19T13:53:15.534,1529.94288,-30.8,1529.94290
2024-06-19T13:53:15.779,1529.94304,-30.9,1529.94290
2024-06-19T13:53:16.019,1529.94326,-30.9,1529.94305
2024-06-19T13:53:16.277,1529.94296,-31.0,1529.94326
2024-06-19T13:53:16.503,1529.94300,-31.0,1529.94296
2024-06-19T13:53:16.742,1529.94306,-31.1,1529.94301
2024-06-19T13:53:16.987,1529.94317,-31.0,1529.94307
2024-06-19T13:53:17.222,1529.94300,-31.1,1529.94317
2024-06-19T13:53:17.472,1529.94298,-31.1,1529.94300
2024-06-19T13:53:17.699,1529.94331,-31.1,1529.94299
2024-06-19T13:53:17.960,1529.94322,-31.2,1529.94332
2024-06-19T13:53:19.826,1530.33332,-30.9,0
2024-06-19T13:53:20.067,1530.33422,-31.0,1530.33331
2024-06-19T13:53:20.316,1530.33297,-31.0,1530.33422
2024-06-19T13:53:20.573,1530.33307,-31.0,1530.33296
2024-06-19T13:53:20.800,1530.33240,-31.1,1530.33309
2024-06-19T13:53:21.044,1530.33267,-31.1,1530.33239
2024-06-19T13:53:21.289,1530.33283,-31.0,1530.33265
2024-06-19T13:53:21.522,1530.33270,-31.1,1530.33281
2024-06-19T13:53:21.772,1530.33272,-31.3,1530.33269
2024-06-19T13:53:22.009,1530.33250,-31.0,1530.33270
2024-06-19T13:53:22.260,1530.33285,-31.3,1530.33249
2024-06-19T13:53:22.490,1530.33257,-31.2,1530.33283
2024-06-19T13:53:22.739,1530.33274,-31.2,1530.33256
2024-06-19T13:53:22.972,1530.33297,-31.2,1530.33272
2024-06-19T13:53:23.233,1530.33352,-31.2,1530.33296
