Time,Wavelength,Power
2024-06-19T13:24:19.238,1531.10438,-31.6,1531.10143
2024-06-19T13:24:19.472,1531.11052,-31.7,1531.10437
2024-06-19T13:24:19.712,1531.11858,-31.7,1531.11054
2024-06-19T13:24:19.960,1531.11883,-31.7,1531.11858
2024-06-19T13:24:20.193,1531.11822,-31.7,1531.11882
2024-06-19T13:24:20.443,1531.11869,-31.8,1531.11821
2024-06-19T13:24:20.683,1531.11840,-31.8,1531.11869
2024-06-19T13:24:20.932,1531.11847,-31.7,1531.11840
2024-06-19T13:24:21.157,1531.11784,-31.7,1531.11847
2024-06-19T13:24:21.409,1531.11743,-31.9,1531.11784
2024-06-19T13:24:21.640,1531.11740,-31.8,1531.11743
2024-06-19T13:24:21.897,1531.11753,-31.8,1531.11740
2024-06-19T13:24:22.123,1531.11713,-31.8,1531.11753
2024-06-19T13:24:22.381,1531.11630,-31.8,1531.11713
2024-06-19T13:24:22.628,1531.11679,-31.8,1531.11630
2024-06-19T13:24:22.886,1531.11663,-31.9,1531.11679
2024-06-19T13:24:23.111,1531.11602,-32.0,1531.11663
2024-06-19T13:24:23.352,1531.11591,-32.0,1531.11602
2024-06-19T13:24:23.599,1531.11595,-32.0,1531.11591
2024-06-19T13:24:23.834,1531.11579,-32.1,1531.11595
2024-06-19T13:24:24.079,1531.11559,-32.1,1531.11579
2024-06-19T13:24:24.342,1531.11524,-32.1,1531.11559
2024-06-19T13:24:24.588,1531.11574,-32.0,1531.11524
2024-06-19T13:24:24.815,1531.11578,-32.2,1531.11574
2024-06-19T13:24:25.065,1531.11684,-32.2,1531.11578
2024-06-19T13:24:25.305,1531.11629,-32.3,1531.11684
2024-06-19T13:24:25.557,1531.11663,-32.3,1531.11629
2024-06-19T13:24:25.783,1531.11640,-32.2,1531.11663
2024-06-19T13:24:27.838,1531.50781,-32.1,0
2024-06-19T13:24:28.072,1531.50745,-32.0,1531.50781
2024-06-19T13:24:28.314,1531.50599,-32.0,1531.50746
2024-06-19T13:24:28.561,1531.50623,-32.1,1531.50600
2024-06-19T13:24:28.792,1531.50595,-32.0,1531.50623
2024-06-19T13:24:29.040,1531.50622,-32.0,1531.50596
2024-06-19T13:24:29.281,1531.50577,-32.1,1531.50623
2024-06-19T13:24:29.530,1531.50616,-32.2,1531.50578
2024-06-19T13:24:29.756,1531.50557,-32.1,1531.50617
2024-06-19T13:24:30.009,1531.50593,-32.2,1531.50558
2024-06-19T13:24:30.240,1531.50594,-32.2,1531.50594
2024-06-19T13:24:30.495,1531.50626,-32.2,1531.50594
2024-06-19T13:24:30.720,1531.50604,-32.3,1531.50627
2024-06-19T13:24:30.961,1531.50649,-32.1,1531.50605
2024-06-19T13:24:31.207,1531.50716,-32.3,1531.50649
2024-06-19T13:24:31.450,1531.50682,-32.2,1531.50716
2024-06-19T13:24:31.689,1531.50650,-32.3,1531.50682
2024-06-19T13:24:31.931,1531.50678,-32.3,1531.50650
2024-06-19T13:24:32.180,1531.50668,-32.4,1531.50679
2024-06-19T13:24:32.407,1531.50654,-32.3,1531.50668
2024-06-19T13:24:32.665,1531.50698,-32.4,1531.50655
2024-06-19T13:24:32.913,1531.50703,-32.5,1531.50699
2024-06-19T13:24:33.166,1531.50649,-32.5,1531.50704
2024-06-19T13:24:33.394,1531.50668,-32.4,1531.50649
2024-06-19T13:24:33.643,1531.50659,-32.5,1531.50668
2024-06-19T13:24:33.877,1531.50708,-32.6,1531.50660
2024-06-19T13:24:34.135,1531.50724,-32.6,1531.50708
2024-06-19T13:24:34.362,1531.50698,-32.7,1531.50725
2024-06-19T13:24:34.603,1531.50664,-32.8,1531.50699
2024-06-19T13:24:34.845,1531.50689,-32.7,1531.50665
2024-06-19T13:24:35.098,1531.50704,-32.7,1531.50689
2024-06-19T13:24:35.328,1531.50699,-32.8,1531.50705
2024-06-19T13:24:35.565,1531.50652,-32.7,1531.50699
2024-06-19T13:24:35.814,1531.50683,-32.7,1531.50652
2024-06-19T13:24:37.844,1531.91456,-33.0,0
2024-06-19T13:24:38.118,1531.90665,-32.4,1531.91449
