Timestamp,Instrument Wavelength,Instrument Intensity,
2024-06-13T15:28:09.152,1552.52369,-36.28932138,
2024-06-13T15:28:09.412,1530.36862,-37.72113295,
2024-06-13T15:28:09.688,1532.11446,-37.28158393,
2024-06-13T15:28:09.989,1532.1152,-37.64471553,
2024-06-13T15:28:10.261,1532.11352,-37.44727495,
2024-06-13T15:28:10.542,1532.11478,-37.35182177,
2024-06-13T15:28:10.856,1531.37786,-37.30487056,
2024-06-13T15:28:11.118,1530.49714,-37.47146969,
2024-06-13T15:28:11.400,1530.49754,-37.54487332,
2024-06-13T15:28:11.681,1530.73656,-37.39928612,
2024-06-13T15:28:11.979,1531.49165,-37.3754891,
2024-06-13T15:28:12.271,1531.49135,-37.35182177,
2024-06-13T15:28:12.579,1530.73658,-36.79853714,
2024-06-13T15:28:12.854,1552.94215,-34.48550002,
2024-06-13T15:28:13.140,1552.93575,-31.43875556,
2024-06-13T15:28:13.421,1552.92659,-31.5490196,
2024-06-13T15:28:13.677,1552.92601,-31.64309429,
2024-06-13T15:28:13.952,1552.9255,-31.64309429,
2024-06-13T15:28:14.231,1530.36827,-37.47146969,
2024-06-13T15:28:14.481,1530.36968,-37.42321425,
2024-06-13T15:28:14.766,1530.36795,-37.47146969,
2024-06-13T15:28:15.070,1531.25164,-37.35182177,
2024-06-13T15:28:15.357,1531.25141,-37.35182177,
2024-06-13T15:28:15.633,1531.2495,-36.57577319,
2024-06-13T15:28:15.944,1553.3467,-31.51810883,
2024-06-13T15:28:16.189,1553.33307,-31.63675884,
2024-06-13T15:28:16.449,1553.32995,-31.73925197,
2024-06-13T15:28:16.726,1553.32768,-31.70053304,
2024-06-13T15:28:16.992,1553.32812,-31.71984936,
2024-06-13T15:28:17.268,1553.32758,-31.62411562,
2024-06-13T15:28:17.679,1553.32765,-31.79142011,
2024-06-13T15:28:17.993,1553.32731,-31.837587,
2024-06-13T15:28:18.058,1553.32711,-31.8243463,
2024-06-13T15:28:18.341,1553.32753,-31.87086643,
2024-06-13T15:28:18.610,1553.32822,-31.91789027,
2024-06-13T15:28:18.863,1553.3284,-31.93820026,
2024-06-13T15:28:19.146,1530.62736,-37.6700389,
2024-06-13T15:28:19.426,1530.6294,-37.47146969,
2024-06-13T15:28:19.715,1531.21432,-37.30487056,
2024-06-13T15:28:19.982,1530.37019,-37.49579998,
2024-06-13T15:28:20.290,1530.08516,-37.3754891,
2024-06-13T15:28:20.568,1531.49169,-37.56961951,
2024-06-13T15:28:20.825,1531.49138,-37.49579998,
2024-06-13T15:28:21.075,1530.1126,-37.39928612,
2024-06-13T15:28:21.340,1531.68035,-36.27087997,
2024-06-13T15:28:21.628,1553.72853,-32.7083521,
2024-06-13T15:28:21.878,1553.73281,-32.644011,
2024-06-13T15:28:22.120,1553.73274,-32.74088368,
2024-06-13T15:28:22.352,1553.73265,-32.7083521,
2024-06-13T15:28:22.622,1553.73255,-32.63603498,
2024-06-13T15:28:22.849,1553.73247,-32.59637311,
2024-06-13T15:28:23.086,1553.73178,-32.60427656,
2024-06-13T15:28:23.327,1553.73166,-32.66000713,
2024-06-13T15:28:23.590,1553.731,-32.72458743,
2024-06-13T15:28:23.819,1553.73115,-32.77366077,
2024-06-13T15:28:24.051,1553.73561,-37.05533774,
2024-06-13T15:28:24.328,1529.8474,-37.54487332,
2024-06-13T15:28:24.616,1531.69579,-37.35182177,
2024-06-13T15:28:24.848,1530.3061,-37.52026734,
2024-06-13T15:28:25.103,1532.11506,-37.47146969,
2024-06-13T15:28:25.364,1531.25402,-37.3754891,
2024-06-13T15:28:25.654,1531.25212,-37.30487056,
2024-06-13T15:28:25.924,1531.25327,-37.32828272,
2024-06-13T15:28:26.199,1529.1902,-37.47146969,
2024-06-13T15:28:26.461,1531.25944,-36.17982957,
2024-06-13T15:28:26.714,1554.14441,-34.0560745,
2024-06-13T15:28:26.998,1554.13348,-33.95773947,
2024-06-13T15:28:27.237,1554.13392,-33.84049948,
2024-06-13T15:28:27.471,1554.13304,-33.94694954,
2024-06-13T15:28:27.715,1554.13263,-33.86158178,
2024-06-13T15:28:27.965,1554.13229,-33.88276692,
2024-06-13T15:28:28.193,1554.13214,-33.7675071,
2024-06-13T15:28:28.442,1554.13255,-33.88276692,
2024-06-13T15:28:28.675,1554.13283,-33.81951903,
2024-06-13T15:28:28.943,1554.13469,-37.01146924,
2024-06-13T15:28:29.197,1530.30661,-37.79891912,
2024-06-13T15:28:29.463,1530.30554,-37.64471553,
2024-06-13T15:28:29.691,1529.84728,-37.47146969,
2024-06-13T15:28:29.984,1531.25268,-37.35182177,
2024-06-13T15:28:30.250,1531.25186,-37.47146969,
2024-06-13T15:28:30.499,1532.11308,-37.01146924,
2024-06-13T15:28:30.778,1554.55658,-34.77555766,
2024-06-13T15:28:31.032,1554.54276,-34.67245621,
2024-06-13T15:28:31.289,1554.53862,-34.42492798,
2024-06-13T15:28:31.515,1554.53772,-34.50996738,
2024-06-13T15:28:31.771,1554.53555,-34.57174573,
2024-06-13T15:28:32.008,1554.53616,-34.63441557,
2024-06-13T15:28:32.263,1554.53648,-34.57174573,
2024-06-13T15:28:32.490,1554.53608,-34.60923901,
2024-06-13T15:28:32.738,1554.53579,-34.84126156,
2024-06-13T15:28:32.984,1554.53599,-34.80172006,
2024-06-13T15:28:33.218,1554.53624,-34.710833,
2024-06-13T15:28:33.461,1554.53572,-34.710833,
2024-06-13T15:28:33.701,1554.53635,-34.8148606,
2024-06-13T15:28:33.958,1554.53672,-34.67245621,
2024-06-13T15:28:34.183,1554.53927,-37.32828272,
2024-06-13T15:28:34.430,1530.08493,-37.61953897,
2024-06-13T15:28:34.686,1530.08512,-37.39928612,
2024-06-13T15:28:34.963,1531.01588,-37.42321425,
2024-06-13T15:28:35.217,1529.25378,-37.39928612,
2024-06-13T15:28:35.483,1529.25271,-37.42321425,
2024-06-13T15:28:35.719,1530.11412,-37.42321425,
2024-06-13T15:28:36.002,1531.69583,-37.28158393,
2024-06-13T15:28:36.276,1531.69298,-36.27087997,
2024-06-13T15:28:36.525,1554.93627,-34.1453927,
2024-06-13T15:28:36.810,1554.94115,-33.92544977,
2024-06-13T15:28:37.043,1554.94023,-34.02304814,
2024-06-13T15:28:37.297,1554.94087,-33.92544977,
2024-06-13T15:28:37.522,1554.94075,-33.88276692,
2024-06-13T15:28:37.781,1554.9402,-33.94694954,
2024-06-13T15:28:38.015,1554.93954,-33.90405591,
2024-06-13T15:28:38.265,1554.93975,-33.99027104,
2024-06-13T15:28:38.496,1554.93953,-34.04503778,
2024-06-13T15:28:38.747,1554.93895,-33.85102784,
2024-06-13T15:28:38.993,1554.94436,-37.21246399,
2024-06-13T15:28:39.266,1531.37959,-37.49579998,
2024-06-13T15:28:39.515,1529.40994,-37.30487056,
2024-06-13T15:28:39.787,1531.60625,-37.39928612,
2024-06-13T15:28:40.044,1531.01662,-37.39928612,
2024-06-13T15:28:40.310,1530.98302,-37.49579998,
2024-06-13T15:28:40.586,1531.1784,-37.30487056,
2024-06-13T15:28:40.854,1530.49797,-37.47146969,
2024-06-13T15:28:41.095,1531.59322,-37.39928612,
2024-06-13T15:28:41.348,1531.28115,-36.19788758,
2024-06-13T15:28:41.623,1555.35526,-33.87216143,
2024-06-13T15:28:41.872,1555.34886,-32.53365801,
2024-06-13T15:28:42.130,1555.34344,-32.44887734,
2024-06-13T15:28:42.363,1555.34251,-32.47183569,
2024-06-13T15:28:42.620,1555.34238,-32.44887734,
2024-06-13T15:28:42.845,1555.34274,-32.47183569,
2024-06-13T15:28:43.100,1555.34271,-32.46416941,
2024-06-13T15:28:43.335,1555.34197,-32.51811973,
